texts,Classes,Key_words
"57,Электронный код",Спам,
"58,Прошу оформить  пропус на работу",Сайт,Оформить
"59,Не удается зайти на мос портал нужен цифровой штриход",Сайт,"Портал, штрихкод"
"60,Пропус электронный",Спам,
"0,Я работаю у меня не получается сделать",Спам,
"1,Не могу зайти и восстановить пароль",Сайт,"Зайти, восстановить"
"2,Не приходит код на телефон",Сайт,Код
"3,Собянина в отставку!",Предложение законодательство,отставка
"4,Почему я не могу зарегистрироваться на госуслуг",Сайт,Зарегистрироваться
"5,Марина",Спам,
"6,Ссс",Спам,
"7,Москва московский область",Спам,
"8,Пароль как сделать",Сайт,Пароль
"9,""Добрый день. Через портал mos.ru НЕВОЗМОЖНО обратиться в Жилищник по поводу правильности начисления коммунальных платежей и выставления ЕПД. Это очень неудобно. Добавьте такой сервис, пожалуйста. При запросе на адрес mos.ru (Обратная связь) вместо классического перенаправления обращения (как это предусмотрено для простых письменных обращений граждан), вы просто вернули обращение без ответа.""",Предложение сайт,"портал,добавьте, невозможно"
"10,пропус как нада",Спам,
"11,Не могу открыть цветовой код",Спам,
"12,""Не входят, не могу зарегистрироватся""",Сайт,заергистрироваться
"13,О",Спам,
"14,На роботу",Спам,
"15,Работа",Спам,
"16,""непонятно зачем заново вводить данные при получении доступа к электронной медицинской карте!?!? , если они уже все (кроме фотографии с паспортом) были в личном кабинете. Безобразие. Первый принцип электронных связанных систем - отсутствие дублирования ввода данных. безобразие....""",Предложение медицина,"Есть, заново, дублирование"
"17,""Здравствуйте! В статье """"Первая женщина-зоопсихолог. Знакомимся с #имя-Котс"""" от 18 мая 2020 года, ошибка в дате рождения героини. Указан 1899 год, а надо - 1889. А статья очень интересная, много фотографий!!! Спасибо.""",Предложение сайт,"Надо, статья"
"18,Работающий",Спам,
"19,""Добрый день! Почему нельзя выписывать рецепты на бесплатные лекарства , в частности ЭЛИКВИС, на 2-3 месяца, хотя бы на период карантина, чтобы реже ходить в поликлиники?""",Предложение медицина,"Нельзя, рецепт"
"20,НЕЛЬЗЯ ВЫЙТИ ИЗ КАБИНЕТА! ЧТО ЗА ЕРУНДА! ОБНОВИТЕ ДОЛБАНЫЙ САЙТ!!!",Сайт,"Кабинет, сайт"
"21,Hhhjj",Спам,
"22,Как дела",Спам,
"23,""Здравствуйте, я являюсь менеджером ИТ проектов. При пользовании вашим сайтом выявлено множество не юзер-френдли операций и кейсов, которые жутко раздражают и вызывают желание закрыть сайт и перестать им пользоваться. Если у вас проблемы с UX или просто нехватка специалистов, могу вам помочь.""",Предложение сайт,"выявлено, помочь, сайт"
"24,""Получил приглашение на сдачу анализов по коронавирусу на 20-22 число. В течении дня техподдержка исправила ошибку, не позволявшую записаться на прием. К этому времени запись была закончена. Наверное, лучше сначала получить согласие от конкретных лиц на участие в этой программе, например, ответным сообщением, а затем сформировать фиксированные списки и разрешить поликлиникам принимать запись по этим спискам.""",Предложение медицина,"Анализ, сначала,лучше"
"24,""Получил приглашение на сдачу анализов по коронавирусу на 20-22 число. В течении дня техподдержка исправила ошибку, не позволявшую записаться на прием. К этому времени запись была закончена. Наверное, лучше сначала получить согласие от конкретных лиц на участие в этой программе, например, ответным сообщением, а затем сформировать фиксированные списки и разрешить поликлиникам принимать запись по этим спискам.""",Предложение медицина,"Анализ, сначала,лучше"
"26,""Поменяйте программистов, а то все сдохнут от коронавируса или от нервного расстройства""",Спам,
"27,Хочу закрыть мою учетную запись. Прошу письменный ответ на мое обращение.",Сайт,Учетная запись
"28,""Нужно в список мед.учреждений вставить графу """"Ветклиника"""". Это многим людям надо.""",Предложение медицина,"Нужно, мед. Учреждение"
"29,""Закрыты все МФЦ, все перевели через сайт mos.ru сделать через ВАШ супер сайт ничего нельзя.Как же тогда вы предлагаете людям решать свои вопросы? 100 ТЫСЯЧ РАЗ ПОДТВЕРЖДАЛА СВОЙ профиль на гос услугах, а в итоге сейчас он опять """"не подтвержден"""". Родила ребенка в апреле и даже не могу на него оформить ОМС. В больницу ходим через подполье!!!! Так как полис оформить не можем! Выплаты получить не можем! и зарегестрировать ребенка не можем!!!!!Если же вы закрыли МФЦ , то будьте любезны создать все условия для людей! Например такую супер услугу как """" подтверждение личности через сайт """" вам в голову не пришло? И человеческий навигатор по сайту сделайте, ничего не найдешь!!!! Всего ВАМ НАИЛУЧШЕГО!!!!!!""",Предложение сайт,"создать, услугу"
"30,""Найдите поумней Айтишников, чтобы работал сайт""",Спам,
"31,Удалить нахер ваш конченый портал",Спам,
"32,""Здравствуйте. Хочу сказать, что у вашего (нашего) сайта прекрасная задумка. Это великий прогресс и удобство для всего народа России. Я на нем зарегистрирован, счастливо получаю электронные госуслуги, и мои данные проверены. Зачем же мне каждый раз при доступе в """"мою электронную карту"""" вводить вручную не только полис ОМС, но и данные паспорта. Особенно то, что паспорт выдан """"ОТДЕЛЕНИЕМ РАЙОНА СЕВЕРНОЕ ТУШИНО ОТДЕЛА УФМС РОССИИ ПО Г. МОСКВЕ В СЗАО"""". Зачем вообще эту бессмыслицу где-либо вводить? Неужели по номеру паспорта и коду подразделения государственные службы не смогут узнать где и когда он выдан. Предлагаю, раз уж вы сами не додумались, убрать эту ужасную строку из всех документов на российской земле раз и навсегда.""",Предложение сайт,"Зачем, предлагаю, сайт"
"33,как мне узнать анализы теста на коронавирус если у меня нет доступа к электронной медицинской карте",Сайт,"Узнать, электронная медицинская карта"
"34,""Здравствуйте. Я - пенсионерка, ранее работала учителем. Очень обеспокоена легкомысленным отношением многих граждан к коронавирусу. Предлагаю Вам разместить короткие рассказы на вашем сайте, которые послужат агитацией к соблюдению всех мер, введенных Правительством. Буду рада, если смогу быть Вам полезной, а взамен получить небольшой гонорар. С уважением.""",Предложение сайт,"Предлагаю, сайт, смогу быть полезной"
"35,""Здравствуйте.Обращаюсь к вам на грани отчаяния!Проблема с учетной записью в личном кабинете.У меня их две,одну нужно удалить,это можно сделать только в МФЦ,онлайн невозможно.Дозвониться в службу поддержки и др.аналогичные службы НЕВОЗМОЖНО и НЕРЕАЛЬНО!  ПОМОГИТЕ!!!СВЯЖИТЕСЬ со мной ПОЖАЛУЙСТА!!! Мой телефон 8 926 760 89 34""",Сайт,"Учетная запись, онлайн"
"36,""Здравствуйте! Хотелось бы рассказать о инновационном проекте по восстановлению климата от катаклизмов,как можно с Вами связатся? Мои контакты #ЭПОЧТА +79915140808 +79505439149""",Предложение благоустройство,"Хотелось бы рассказать, климат"
"37,""Запуск центрального диаметра по Рижской ж/д - хорошая идея для многих жителей. Но, для жителей домов, прилегающих к этой территории создалась повышенная шумовая нагрузка. Но, для жителей домов, прилегающих к этой территории создалась повышенная шумовая нагрузка. Но, для жителей домов, прилегающих к этой территории создалась повышенная шумовая нагрузка. Но, для жителей домов, прилегающих к этой территории создалась повышенная шумовая нагрузка. Правильным и необходимым считаю возведение шумозащитных экранов по всей протяжённости диаметра, которые смогут убрать шумовую нагрузку. Спасибо за ответ.""",Предложение благоустройство,"Житель, считаю, возведение"
"38,""Здравствуйте, что бы зайти на электронную медицинскую карту, мне приходиться делать 5 движений (тапов),  плюс шестой тап, подтверждение смс на вход. Можно пожалуйста эту вкладку ( Электронную медицинскую карту) поместить там где личный кабинет или где нибудь поближе, как часто используемую и значимую. Спасибо.""",Предложение сайт,"Приходится, можно, пожалуйста, поместить"
"39,По поводу работы и по поводучто",Спам,
"40,""В личном кабинете mos.ru хранятся в открытом доступе чувствительные данные. Сделайте двухфакторную аутентификацию.""",Предложение сайт,"Сделайте, mos.ru"
"41,""Господа, я пытаюсь записаться на приём в МФЦ для подтверждения своего профиля (статус """"подтвержденный"""") и подачи заявления на единовременную выплату на ребенка с 3 до 16 лет. По Вашим правилам попасть в МФЦ можно только по предварительной записи. А для того, чтобы эту предварительную запись сделать необходимо в качестве первого шага выбрать услугу. Так вот, НИ ОДНА ИЗ ТЕХ УСЛУГ, КОТОРЫЕ МНЕ НУЖНЫ, НЕ ВХОДИТ В ВАШ СПИСОК УСЛУГ, а внести в раздел """"список услуг"""" наименование нужной услуги самостоятельно ваша умная система не даёт. В итоге Я НЕ МОГУ ЗАПИСАТЬСЯ НА ПРИЁМ В МФЦ!!!  Настоятельно рекомендую предусмотреть в окне """"наименование услуги"""" возможность внесения наименование нужной гражданину услуги самостоятельно!""",Предложение услуги,"Необходимо, реккомендую, возможность, услуга"
"42,Я не могу зарегистрироваться",Сайт,Зарегестрироваться
"43,Я хочу изменить свою запись",Спам,
"44,""Доброго времени суток! у меня есть предложение указывать точную информацию людям куда обращаться при получении СНИЛС.   0001-9000003-booking-0352935/20 услуга мне не была оказана , мне сказали идти в Пенсионный фонд."" ",Предложение услуги,"Есь предложение, обращаться"
"45,""На портале гос услуг на мой телефон зарегистрирвован другой пользователь  Как это исправить.""",Сайт,"Зарегестрирован, портал"
"46,Где я",Спам,
"47,""Я отправил в предыдущем обращении 3 вопроса-пожелания, исчерпав максимальный размер сообщения, но не задав всех имевшихся вопросов: 4. Соответственно, зачем такие жёсткие ограничения на размер текста? 5. Почему при задании пароля на mos.ru можно использовать только буквенно-цифровые символы, но нельзя использовать другие значки из ascii-набора, имеющиеся на клавиатуре, такие как """"!@#$%^&*()_-+=: ',./?\|"""" ? Ведь они усложняют взлом пароля. На госуслугах же хотя бы 1 из этих значков в пароле обязателен. Правая рука не ведает, что творит левая? На самом деле оба подхода неверны: значки эти не нужно навязывать, как это делается на госуслугах (длинный буквенно-цифровой пароль достаточно надёжен), но запрещать их использование в пароле, как это делаете вы, ещё глупее. 6. Почему я не могу зайти на страницу https://www.mos.ru/services/catalog/popular/ из браузера palemoon, а только из firefox? В то время как на nedoma.mos.ru я могу зайти и из palemoon? У вас разная авторизация на разных страничках? Но зачем? И почему вы проверяете свои странички только для топ-5 браузеров (если проверяете)? Palemoon тоже распространённый браузер, хоть и не входит в 1-ую пятёрку, и думаю, что в Москве многие предпочитают его. ИТОГ: Мне кажется, что сайт московского правительства, как и госуслуги, не должны напоминать сайт провинциального интернет-магазина, написанного первокурсниками за неделю за копейки. Почему в этих  ммагазинах такое злоупотребление javascript, recaptcha от гугл, другими зондами типа яндекс-метрики, поддержка минимального числа браузеров и бардак с паролями - понятно. Но почему то же самое позволяют себе государственные сайты, манипулирующие с персональными данными десятка миллионов москвичей - понять нельзя. Надеюсь, что моя конструктивная критика будет понята правильно. Спасибо за внимание.""",Предложение сайт,"Пожелание, зачем, почему"
"48,""Вот вам идея: как не делать из России посмешише, хотя Россию не изменить. https://vk.com/id35585200?z=video-112602088_456247552%2F3cbd845a722da06245%2Fpl_wall_35585200""",Предложение законодательство,"Идея, Россия"
"49,""Здравствуйте, на сайте MOS.RU хороший раздел кратких новостей.  В настоящее время для меня актуален тэг Северо-восточная хорда. К сожалению ссылки на генплан расположения хорды не просто найти в разделах сайта. Было бы полезно иметь геотэги к новостям, для тех, кто не владеет такой информацией. Спасибо.""",Предложение сайт,"mos.ru, было бы полезно"
"50,""Запись в МФЦ, Кадастравые палаты, Росреестр и прочее сделана максимально запутывающе — все пункты в списке начинаются с «МФЦ», понять, что нужная справка выдается именно в обычном МФЦ (который записан как, внезапно, Государственное бюджетное учреждение """"Многофункциональные центры предоставления государственных услуг города Москвы"""") Единое окно, отлично... Потом ты приезжаешь, и оказывается, что по твоей записи невозможно получить нужную тебе услугу! Отлично, просто отлично""",Предложение сайт,"Сделано, невозможно, окно"
"51,Создайте запись в мфц в отдел мвд по вопросам миграции на получение ПАСПОРТА ГРАЖДАНИНА РФ",Предложение сайт,Создайте запись
"52,""В профиле, когда сохранил личные данные, они отправляются в ПФР на проверку и после этого данные не доступны для редактирования, пока проверка не пройдет. Проверка может продолжаться до 24-х часов. Хорошо, но если ты вдруг обнаружил опечатку, зачем ждать окончания проверки? Просто сделайте кнопку """"Отозвать проверку"""", чтобы отменить ее. Данные разблокируются, я исправлю опечатку и отправлю новые, уже правильные данные в ПФР вновь. Хорошо, но если ты вдруг обнаружил опечатку, зачем ждать окончания проверки? Просто сделайте кнопку """"Отозвать проверку"""", чтобы отменить ее. Данные разблокируются, я исправлю опечатку и отправлю новые, уже правильные данные в ПФР вновь.",Предложение сайт,"Если, сделайте кнопку"
"53,Огромное СППАСИБО!!!..",Спам,
"54,""Напишите пожалуйста инструкцию по выбору дня для записи в центры Мои документы. Что бы люди понимали, что мол как и так, запись выкладывается на два или три, пять дней вперед и только на текущий месяц , и с утра. Что бы люди не ломились и сразу понимали, что надо встать пораньше и записаться пока  все на заняли.""",Предложение сайт,"Напишите, запись"
"55,""найти вопрос по социальной карте пенсионеркам практически невозможно. Очень плохо оснащены эти вопросы. Записаться практически невозможно. Это сделано чтоб создать проблему. ПЕНСИОНЕРАМ. Чтоб  рабочих пенсионеров обобрать в очередной раз. Почта России может работать выдавать посылки и принимать, а документы сделать невозможно. ДУРЬ. Стыд и позор за такую организацию.""",Предложение сайт,"Невозможно, плохо оснащены"
"56,""Добрый вечер! Прошу вас открыть возможность самостоятельно в своем личном кабинете удалять данные СНИЛС и др. и возможность удалять свою учетную запись при желании. Иначе это целая проблема, если забыл, что есть учетная запись, создал новую, а потом ее удалить нельзя""",Предложение сайт,"Прошу, личный кабинет"
"57,""Нужно усовершенствовать  работу службы 8 495 7777777. Очень долго говорит робот , перечисляя все услуги , при чем несколько раз одно и тоже. Кому сразу не очень понятно , может нажать на указанную клавишу , а не ждать повторов.  Затем очень долго ждешь ответа оператора , уходит очень много впустую времени. Затем оператор сам не может иногда ответить на задаваемые вопросы , говорит , что ждите , проконсультируюсь. Ответ получаешь не всегда понятный и часто противоречивый. Затем по очень большой просьбе иногда ( но не всегда ) переадресует вопрос или просьбу к специалисту. Тоже надо очень долго ждать соединения. Иногда по техническим причинам разговор прерывается и надо начинать все соединение со всеми заново. Сейчас очень многие пользуются только мобильными телефонами , уходит мого времени и денег.  Надо как-то подумать , чтобы был быстый доступ к """"живому"""" оператору и специалисту. Кому достаточно робота , пусть пользуются этой услугой. А кому нужны операторы и специалисты , нужно сделать их доступность значительно быстрее. Данной службой пользуется много народу , поэтому ее работу , быструю доступнось оператора и специалиста надо сделать более оперативной. Особенно учесть , что ей в основном пользуются люди старшего поколения. Все это-личное наблюдение за работой службы во время самоизоляции.""",Тех.поддержка,"Нужно усовершенствовать, говорит робот, переадресует"
"58,Метро бамнски от метро дамадидва",Спам,
"59,Улучшить охлаждение Серверов отправки.",Предложение сайт,Улучшить охлаждение
"60,Получить документы",Спам,
"0,Спосибо",Спам,
"1,Нет",Спам,
"2,""В старом варианте я очень просто вводил показания водяных счетчиков своей квартиры и квартиры жены. А как это сделать в новом кабинете? Кстати в старом варианте появлялась подсказка с номером лицевого счета, а теперь она там ИСЧЕЗЛА!!!Прошу восстановить это удобство!+79032035861""",Предложение сайт,"ввод, водяной счетчик, новый кабинет, номер лицевого счета."
"3,Сделаьь цифровой код",Сайт,цифровой код
"4,Не могу зарегистрироваться",Сайт,зарегистрироваться
"5,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"6,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"7,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"8,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"9,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"10,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"11,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"12,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"13,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"14,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"15,""Почему нельзя вбить вторую карту тройку . А если заблокировали ,  а потерял, Собянин на такси дать?""",Транспорт,"карта тройка, такси"
"16,Меня нужно только цифровые код",Сайт,цифровой код
"18,""В услугу по оформлению субсидии на оплату ЖКУ добавить цель обращения - """"Информирование об изменениях в персональных данных"""". При этом сделать возможным укороченный алгоритм заполнения (без обязательного внесения данных о доходах и т.п., если субсидия уже назначена и выплачивается). Например, у гражданина, уже получающего субсидию, поменялся паспорт или счет в банке. Как предоставить эти сведения через портал (без посещения МФЦ). В настоящее время, такой возможности нет, поскольку этапы оформления субсидии или внесение изменений предполагают заполнение всех полей, в том числе и о доходах, с приложением копий справок о доходах и т. п.""",Предложение услуги,"услуга, персональные данные, алгоритм, портал, зполнение полей"
"19,Salom",Спам,
"20,Работа",Спам,
"21,проблема входа на сайт",Сайт,вход на сайт
"22,К бабушке",Спам,
"23,Не могу зарегистрироваться",Сайт,зарегистрироваться
"24,Как можно зарегистрироваться мос ру",Сайт,"зарегистрироваться, мос. ру"
"25,Как можно зарегистрироваться мос ру",Сайт,"зарегистрироваться, мос. ру"
"26,Масква",Спам,
"27,Цвет волос",Спам,
"28,""Прошу удалить мою учётную запись на портале mos.ru Логин lara.#ЭПОЧТА ФИО #имя СНИЛС #СНИЛС""",Сайт,"учетная запись, удалить, портал, мос.ру, логин, эл. почта"
"29,при оформлении субсидии на на оплату жилого помещения нет возможности вбить номер свидетельство иностранного образца. С подобной проблемой уже обращалась. Проверьте есть ли везде иностранного образца свидетельство о рождении. Сделайте уже во всех запросах подобное окно чтоб не ограничивать людей. Спасибо.",Предложение услуги,"оформлние, субсидия, оплата"
"30,""Уважаемый Сергей Семенович! Я москвичка, проживаю в Австралии. Исходя из официальной информации ВОЗ - количество протестированных людей в России составляет 2,877,699 человек. Количество смертей 5 на 1 мил человек, что составляет 0,0005 % населения!!! От гриппа ежегодно умирает 0,09 % Я понимаю, карантин ввели так как это был новый вирус, но сейчас есть статистика. Во ВСЕХ странах цифры смертности очень низкие, ниже 0,04%! Чем больше людей тестируется, тем меньше смертность! Насильный и неоправданный карантин имеет глобальные последствия! Возрастут преступления, безработица, депрессия, домашнее насилие, самоубийства!!! Самоубийства здорового и молодого населения!Прекратите вести отслеживание смертей в режиме реального времени. Люди умирали и умирают и будут умирать! Посмотрите, пожалуйста, статистику по России - Смертность на 1 миллион! Все предельно просто! Пожалуйста, передайте эту информацию федеральному правительству.Людям необходимо работать, а не сидеть дома!!!!Спасибо! Людмила Горелова""",Предложение медицина,"ВОЗ, смерть, грипп, карантин, вирус, смертность, здоровый, депрессия /преступление, безработица"
"31,""Здравствуйте.  Во вложении предложение, продублировала в МЗРФ.""",Медицина,МЗРФ
"32,Ваш сайт говно",Спам,
